""	"Group"	"Site"	"Host"	"Region"	"Type"	"Year"	"Province_1"	"Province_2"	"Conservation"	"gut_section"	"Sex"	"Size"	"Size_range"	"Longitude"	"Latitude"	"BO22_chlomean_bdmean"	"BO22_curvelmean_bdmean"	"BO22_dissoxmean_bdmean"	"BO22_ironmean_bdmean"	"BO22_phosphatemean_bdmean"	"BO22_lightbotmean_bdmean"	"BO22_ph"	"BO22_nitratemean_bdmean"	"BO22_tempmean_bdmean"	"BO22_carbonphytomean_bdmean"	"BO22_ppmean_bdmean"	"BO22_salinitymean_bdmean"	"BO22_silicatemean_bdmean"
"C11_FALK_22"	"C11_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"35"	"35-40"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C11_Paf"	"C11_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"46"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C12_1_Chi"	"C12_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40.5"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C12_2_Chi"	"C12_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40.5"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C12_FALK_22"	"C12_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"39"	"35-40"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C12_Paf"	"C12_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"48"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C12b_Par1"	"C12b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"M"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C12c_Par1"	"C12c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C13_1_Chi"	"C13_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C13_2_Chi"	"C13_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C13_FALK_22"	"C13_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C13_Paf"	"C13_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"45"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C13a_Par1"	"C13a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"F"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C13b_Par1"	"C13b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"F"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C13c_Par1"	"C13c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C14_1_Chi"	"C14_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C14_2_Chi"	"C14_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C14_FALK_22"	"C14_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"43"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C14_Paf"	"C14_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"52"	"50-55"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C14a_Par1"	"C14a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"F"	"26"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C14b_Par1"	"C14b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"F"	"26"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C14c_Par1"	"C14c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"26"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C15_1_Chi"	"C15_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"39"	"35-40"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C15_2_Chi"	"C15_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"39"	"35-40"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C15_FALK_22"	"C15_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"44"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C15_Paf"	"C15_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"51"	"50-55"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C15a_Par1"	"C15a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"M"	"25"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C15b_Par1"	"C15b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"M"	"25"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C15c_Par1"	"C15c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"25"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C16a_Par1"	"C16a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"F"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C16b_Par1"	"C16b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"F"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C16c_Par1"	"C16c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C17a_Par1"	"C17a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"F"	"32"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C17b_Par1"	"C17b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"F"	"32"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C17c_Par1"	"C17c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"32"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C18a_Par1"	"C18a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"M"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C18b_Par1"	"C18b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"M"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C18c_Par1"	"C18c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C1_1_Chi"	"C1_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C1_2_Chi"	"C1_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C1_FALK_22"	"C1_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"43"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C1_Paf"	"C1_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"47"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C1_SOG_22"	"C1_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut content"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"M"	"33"	"30-35"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"C2_1_Chi"	"C2_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"39"	"35-40"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C2_2_Chi"	"C2_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"39"	"35-40"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C2_FALK_22"	"C2_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"44"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C2_Paf"	"C2_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"46"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C2_SOG_22"	"C2_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut content"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"M"	"29"	"25-30"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"C2b_Par1"	"C2b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"M"	"31"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C2c_Par1"	"C2c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"31"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C3_1_Chi"	"C3_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C3_2_Chi"	"C3_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C3_FALK_22"	"C3_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"39"	"35-40"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C3_Paf"	"C3_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"50"	"50-55"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C3_SOG_22"	"C3_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut content"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"M"	"22"	"20-25"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"C3a_Par1"	"C3a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"M"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C3b_Par1"	"C3b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"M"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C3c_Par1"	"C3c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C4_1_Chi"	"C4_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41.5"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
